title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
THE PRETTY PINK ROOSTER,100 BERKELEY CIRCLE,,BASKING RIDGE,NJ,7920,,,,40.700709,-74.566757
THE PRETTY PINK ROOSTER,115 MORRISTOWN ROAD ,SUITE A,BERNARDSVILLE,New Jersey,7924,,,,40.7187,-74.5692
"POUR HOMME, LLC",3 FOREST STREET,,CHATHAM,NJ,7928,,,,40.7295,-74.418748
YOU'RE NOT IN KANSAS ANYMORE,35 PERRY STREET,,CHESTER,NJ,7930,,,,40.783793,-74.696016
THE RED TOAD,49 RT 202,,FAR HILLS,NJ,7931,,,,40.685043,-74.634595
WINDSWEPT BOUTIQUE LLC,4 EAST MAIN STREET,,MENDHAM,NJ,7945,,,,40.776158,-74.600581
LAUREN B INC.,55 SOUTH STREET,,MORRISTOWN,NJ,7960,,,,40.794582,-74.479676
FINALLY THE PERFECT GIFT,2083 ROUTE 70 EAST,,CHERRY HILL,NJ,8003,,,,39.896483,-74.949064
"12TH FLOOR, LLC.",15 NORTH 15TH ST,,SURF CITY,NJ,8008,,,,39.663658,-74.162516
REYNOLDS GARDEN SHOP,201 E. BAY AVENUE,,MANAHAWKING,NJ,8050,,,,39.691861,-74.25263
WILDFLOWERS BY CRICKET,1286 RIDGE AVE,,MANAHAWKIN,NJ,8050,,,,40.13007,-74.054518
BARBARA SIMEDILE,17 CHAUCER LANE,,MEDFORD,NJ,8055,,,,39.913011,-74.803837
QUEEN BEE BOUTIQUE,510 STROKES RD. STE A,,MEDFORD,NJ,8055,,,,39.900325,-74.818189
ROMP APPAREL,41 PIERCES POINT ROAD,,CAPE MAY COURT HOUSE,NJ,8210,,,,39.077406,-74.900445
"BARBARAS BOUTIQUE (LINWOOD, NJ)",14 CENTRAL SQUARE,,LINWOOD,NJ,8221,,,,39.35,-74.58
SUN SEEKERS INC.,751 ASBURY AVENUE,,OCEAN CITY,NJ,8226,,,,39.280335,-74.574365
TALK OF THE WALK,410 S. MAIN ST.,,PLEASANTVILLE,NJ,8232,,,,39.387215,-74.526425
CHRISSIE'S BOUTIQUE NJ,3806 LANDIS AVE,,SEA ISLE CITY,NJ,8243,,,,39.157462,-74.690067
MARKLE'S INC,9425 SECOND AVE,,STONE HARBOR,NJ,8247,,,,39.054452,-74.758204
"KLOTHES KOVE, LLC.",9301 3 RD AVE. #5,,STONE HARBOR,NJ,8247,,,,39.06,-74.75
MRS B'S,7312 VENTNOR AVE,,VENTNOR CITY,NJ,8406,,,,39.333115,-74.492344
A TOUCH OF PANACHE,6419 VENTNOR AVE,,VENTNOR,NJ,8406,,,,39.337583,-74.483461
HIGHBAR BOUTIQUE,8 SOUSA CT,,E. WINDSOR,NJ,8520,,,,40.251277,-74.544365
LISA JONES,16 WITHERSPOON ST.,,PRINCETON,NJ,8542,,,,40.350228,-74.660352
LILI B'S,1378 US HIGHWAY 206,,SKILLMAN,NJ,8558,,,,40.17981,-74.672433
B&B DEPARTMENT STORES SOUTH LLC.,254 DRUM POINT RD.,,BRICK,NJ,8723,,,,40.043553,-74.118642
BERNSTEINS FASHION,9 LICOLN HIGHWAY,,EDISON,NJ,8820,,,,40.55682,-74.344027
DEBB'S BOUTIQUE,9 SEDGWICK STREET,,JAMESBURG,NJ,8831,,,,40.353727,-74.440216
SOIREE,85 W MAIN ST.,,SOMMERVILE,NJ,8876,,,,40.568876,-74.614444
"DJ LADIES APPAREL, CORP","19 W. 34TH STREET, SUITE 600",,NEW YORK,NY,10001,,,,40.749189,-73.985922
LOUNGE,1430 BROADWAY ST 905,,NEW YORK,NY,10018,,,,40.75407,-73.986746
MARY JO KEEBLE,60 W. 57 TH STREET  SUITE # 2E,,NEW YORK CITY,NY,10019,,,,40.653229,-74.014716
MILLION FASHION,177 ST NICHOLAS,,NEW YORK,NY,10033,,,,40.85,-73.93
LJ MONGE RL,"EL CORTIJO LOCAL 1, SAN RAFAEL DR ESRAZO",,SAN JOSE,CA,10203,,,,33.97503,-116.497567
DANIELLA BELLAS SOUTH BOUTIQUE,64 SHARROTT AVENUE,,STATEN ISLAND,NY,10309,,,,40.521493,-74.213636
ALVARO CARRASCO,1324 OGDEN AVE,,BRONX,NY,10452,,,,40.840625,-73.925041
HARRIMAN CLOTHING CO.,186 ROUTE 17 M SUITE 3,,HARRIMAN,NY,10926,,,,41.293891,-74.144341
AVANTI,2 JOCKEY HOLLOW RD,,WARWICK,NY,10990,,,,41.234197,-74.415875
SILVER DESIGNS PLUS INC.,271-10 GRAND CENTRAL PKWY,,FLORAL PARK,NY,11005,,,,40.757582,-73.713571
BRENDA'S,4518 18TH AVE.,,BROOKLYN,NY,11204,,,,40.630072,-73.97891
LA ESQUINA FASHION,592 BUSHWICK AVE,,BROOKLYN,NY,11206,,,,40.698526,-73.934721
579,1000 PENNSYLVANIA AVENUE,,BROOKLYN,NY,11207,,,,40.654741,-73.887974
RAINBOW,1000 PENNSYLVANIA AVENUE,,BROOKLYN,NY,11207,,,,40.654741,-73.887974
FIFTH AVENUE MENSWEAR,5902 5TH AVENUE,,BROOKLYN,NY,11220,,,,40.64005,-74.015768
LESTER'S OF NEW YORK INC,2411 CONEY ISLAND AVE.,,BROOKLYN,NY,11223,,,,40.59813,-73.960965
POLAS FASHIONS,720 KINGS HWY,,BROOKLYN,NY,11223,,,,40.60622,-73.964974
TALKING FASHION,1381 CONEY ISLAND AVE.,,BROOKLYN,NY,11230,,,,40.62389,-73.964805
"SWEAT T'S AND MORE, INC",219 36TH STREET,,BROOKLYN,NY,11232,,,,40.656585,-74.007982
KK TOTAL FASHION,89 38 165TH ST,,JAMAICA,NY,11432,,,,40.833601,-73.926033
PRESAVA,270 MERRICK RD,,BALDWIN,NY,11510,,,,40.644471,-73.606742
